项目标题,总价,描述,工时,投标人数
小程序UI设计,500,"重新设计已有小程序的UI；
小程序搜索云氧系统，先构思做个首页试试感觉；配色、元素、布局随意调整，突出扫码功能、附近网点查询功能。
如果可行，后续还有很多UI设计工作。",1,41
智慧停车场,21000,"智慧停车场开发，只要包括公众号，小程序，云平台，岗亭收费端（系统固化）工控机。
智慧停车场开发，只要包括公众号，小程序，云平台，岗亭收费端（系统固化）工控机。",30,49
区块链全栈开发,1800,精通前端开发，熟练使⽤Solidity开发、测试、部署智能合约 熟练使⽤web3.js、ethers.js实现与智能合约交互,3,
金融网站,10000,"金融类网站，要求提高复杂数据下的交互能力和表现力。已经有一定的完成度，在此基础上进行优化改进交互和使用体验。
要求：
1. 有一定的从业经历，最好有数据密集型项目的交互设计经验
2. 良好的沟通能力",5,52
python，ubuntu修改bug,500,bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的bug修改很快的,1,30
金融网站,30000,"前端vue.js. 要求能够驻厂工作，在现有项目基础上快速上手迭代。
1. 中高级前端水准，独立的数据分析网站经验。
2. 良好沟通能力
3. 有一定UI交互经验",30,26
金融网站,30000,"python中高级，熟悉restful api开发以及相关工具，熟悉celery等常见工具。在已有项目基础上快速开发迭代能力。
1. 能够驻厂工作
2. 良好的代码习惯和沟通能力",30,11
基于微信的小学生每日打卡功能,10000,"一、开发目的：旨在利用微信的平台普及的优势，建立一个辅助教师、家长和学生，提高小学基本知识学习的效率和毅力的辅助平台。
二、实现目标
1、系统通过公众号每日下达打卡任务，包括语文的字词听写、数学的口算、英语的单词听写。听写模式以语音为主，语文和英语是模拟家长口诵，孩子在作业纸上作答，口诵完成后，系统显示正确答案，孩子核对答案，并在系统中标注正确的和错误的；数学是系统模拟家长口诵题干，孩子在系统输入框内输入答案，最后显示答题情况。最终系统将错题纳入错题库。听写时可以调整播报速度和次数。
2、系统预设学生所在年级的学科全程列表，学生可主动登记学习进度，系统可定期（如10天未更新进度）弹窗询问",10,75
微信小程序pc端双击复制黏贴、后退快捷键,500,"微信小程序pc端实现功能：双击复制黏贴小程序中文字、esc后退快捷键。
有可以做的联系我，功能比较简单。主要是为了方便操作。项目金额300元",1,24
做一款物联网共享设备的监控界面,4000,公司投放了一批类似怪兽充电一样的共享设备，需要做一个监控管理界面，设备数据会上传至阿里云物联网服务器，有阿里云物联网平台相关开发经验的兄弟优先，可靠项目，觉得合适的话发详细需求文档。推荐用node.js开发后台，前端推荐使用vue-element-admin,8,39
视频增稳防抖稳定处理,15000,"视频增稳防抖稳定处理

一、项目简介
需要设计并开发一个项目为非线性编辑软件的增稳（去抖动）的插件，如Premiere Pro、After Effects、达芬奇、Final Cut Pro的插件。

二、功能需求
利用陀螺仪数据，选择相机型号，设置视频同步点，自动稳定视频画面。

三、人员要求
了解非线性编辑软件，熟悉图像视频处理。

四、参考产品
https://github.com/ElvinC/gyroflow
https://github.com/Cleric-K/BlackboxToGPMF
https://github.com/Cleric-K/Bla",30,4
视频增稳防抖稳定处理,15000,"视频增稳防抖稳定处理

项目为非线性编辑软件的增稳（去抖动）的插件，如Premiere Pro、After Effects、达芬奇、Final Cut Pro的插件。

利用陀螺仪数据，选择相机型号，设置视频同步点，自动稳定视频画面。

参考实例：
https://github.com/ElvinC/gyroflow
https://github.com/Cleric-K/BlackboxToGPMF
https://github.com/Cleric-K/BlackboxToGPMF/discussions/1
https://www.lookae.com/reelste",30,3
ang ular工程师,1400,"需求描述:AGV项目
需要给项目新增功能点，标识点属性显示不是用户所需信息，由于区分大小写，命令文本容易出错，需要一个更友好的ident piint窗口
人才需求:熟练使用angular框架，有AGV项目开发经验优先",2,
PHP后台二次开发,3500,"一、需求描述：

类别：APP后台二次开发 
进度：已经有产品文档、UI，需要技术开发。 
技术：PHP语言开发。

二、人才要求：

3年以上PHP，有过视频类产品开发经验优先。

三、参考产品：爱秀短视频

四、合作方式：

开发方式：远程开发。 
开发周期：7天",7,
程序员,1000,需要做一个关于自动驾驶的人机混合路径规划，验证自动驾驶是否在特定情况下恶化了网络效率，需要双层规划，MATLAB Python都可，如何做愉快还有另一个项目可以继续合作。,2,6
前端模版制作 长期配合,45000,"wordes与dede 帝国模版制作 长期配合   



熟练使vue,elementui,uniapp,jquery,javascript,nodejs,react,php,python,java等技术，有做过小程序，基本的网站制作，h5页面制作，会部署服务器。做过网站建设，官网制作，跨平台软件制作，wex5制作的安卓软件,部署在商场导购系统上，有做过小程序阿闻宠物，阿闻爱省钱，阿闻商城，做过后台管理系统阿闻平台。",90,57
PC端EXE程序，BUFF接单发货,1500,有一个现成的，字库锁定的软件，只能运行一部分。需要反编译。如有能力重新写一个也可。在此基础上附加一个功能。二把刀勿扰，耽误我时间。,3,
pcb设计与linux下c或python 基于 cups,12500,"1.项目简介：豹印共享打印盒子是针对不同打印机的一款通用方案。使用全志V3s芯片研发，具备cups本地打印与nps内网穿透两种连接方式
2.硬件要求：使用全志V3s芯片（也可君正X1021），4G存储，wifi芯片 AP6212（或矩康8723ds）
3.基础：使用python或者c语言，通过mqqt协议，接受后端发送的文件链接。获取链接文件，通过cups打印，打印完回传参数给后端进行确认
4.打印机需自动匹配cups驱动
5.Nps功能：若打印机不在cups支持驱动列表，则使用nps连接windows驱动服务器，win下发数据打印
6.Ap6212具备wifi加蓝牙功能。需做到和小",25,4
.NET,1000,"需求 使用sql数据库  由vs运行的窗体 物流后台管理系统 不使用服务器  基于本地主机运行就可以
功能模块  用户管理  物流订单管理  车辆  账单   后续可能会添加其他的    
  有基本框架代码  可通过GITEE传输  具体问题可以细聊
时间要求很急   最好能今天就开始",2,
手机棋牌后台Elixir，Erlang,800,"需求要求：一款地方手机棋牌游戏，已经投入运营，需要给后台增加一个测试牌型功能，此功能为一个单独的功能，不和已经有的后台一起。
技术要求：Elixir，Erlang
完成效果：提供一个单独的网页链接，里面有一个测试功能就可以了。",1,6
后端开发,7500,"招聘中平台赠送当前可免费开放
调整经验要求为“3-5年”，可获得更多精调整


职位详情
有资后端开发Java微服务架构多线程租培力
多进程图形图像处理全栈开发PC端
1、计算机相关专业，3年以上的Java后端开发经验。
功
勾信2、深入理解业务的需求、场景、后续发展方向，进行系文e统分析、架构设计以及产品功能的开发。
3、熟练掌握Java基础，多线程、缓存、lO、Json、分布式、高并发。
4、熟练掌握服务器的部署、Spring、Spring MVC、Spring Boot、SpringCloud、Mysql数据库、微服务等。
5、熟练掌握基于TCP的Socket长链",15,54
采集数据,5000,做个根据搜索条件获取接口数据并能按价格排序，搜索能传多个参数价格或者型号等符合条件简单提醒下。。。。。。。。。。。。。。。。。。。。。。。。。。。,5,
uniapp 环信功能集成,500,"uniapp新建一个项目，集成环信的单聊和群聊部分功能，不要求写界面，不要添加不必要的代码

主要功能如下：
好友的添加和删除 好友之间发送文字信息
群聊添加成员 删除成员 发送文字信息

按钮实现上述功能就可以，消息文本框显示就可以。主要用来实现命令的传递",1,
噪声渗漏预警系统app,1500,"完成一个噪音渗漏系统app的开发
没有ui图纸，此项目是 噪声渗漏预警仪使用的app，用于自来水厂，通过在自然水管网上安装噪声监测仪，检测仪返回噪声，通过分析噪声，来判断是否漏水
语言：react-native
分为四个模块
1、地图定位显示管网信息，并标明安装设备的点     可以选择显示漏水或者疑似的标注
2、二维码扫码显示设备的信息  在设置一个按钮可以添加设备信息
3、设备管理模块：分为四个小模块  1、设备运维 （设备维护的地点人员等信息）2、拆装记录（设备的拆装记录信息） 3、历史记录（包括音频跟此处漏水点的信息）4、数据分析（分析一下漏水的声音）
4、我的信息模块",3,
医保卡缴费,1200,"开发读卡器程序， 实现与银海组件对接实现医保卡缴费。
四、合作方式：

开发方式：远程开发。提供c#可以调用的动态库
开发周期：5天",2,14
寻找App开发,9000,本人从事移动开发5年，具有原生开发，RN以及Flutter多重开发技能，希望可以通过平台补贴家用，还望大家可以支持联系本人,15,3
Linux系统内核添加及系统调用,1000,"Linux0.11内核
1、添加一个新的内核函数readFile(FILE *filename)，读取一个文件中的内容，保存到数组a中，并写入内存；
2、添加一个新的内核函数bucketSort(int a[])，对数组a中的数据进行桶排序；
3、添加一个新的内核函数heapSort(int a[])，对数组a中的数据进行堆排序；
4、编写测试程序compareSort()调用上述函数,并比较两个排序函数bucketSort()和heapSort()的效率，同时，统计并输出数组a中最大数值出现的次数。
要求：
1、效率通过程序执行时间来衡量
2、数组a中包含10000个数
3、",2,
java/python程序员,600,"白天兼职程序员，按小时付费，要求，
1. 5年以上的java/python web端开发经验， 善于表达。 
2. 了解Spring MVC, Springboots, 熟悉SSH和SSM框架。
3. 有良好的沟通和解决问题的能力。

满足条件的可以打电话预约电话面试。

有意者请联系我，谢谢。告诉自己是从猪八戒网过来的。",1,83
移动广告平台开发,10000,"广告联盟系统,在PC/移动设备中的HTML投放广告，支持主流广告形式如 Banner，信息流，插屏，开屏
OMobile
移动广告平台，使用SDK在移动应用APP中集成广告，支持原生广告信息流，插屏，开屏，Banner等主流广告形式
可以选择在家工作，或者招募小伙伴一起合作，这只是前期开发后续维护也可一起承包。具体可面谈。要求有开发过移动广告平台的经验，新手勿扰",20,13
全景发布平台服务端开发,3500,"网站简介：
全景发布平台服务端开发，实现用户上传资源，资源编辑，服务发布，服务分享等功能。
功能需求：
包含场景管理，作品管理，作品分享等内容。
相关文档：
提供PDM，服务端及接口设计文档。主要负责编码实现。
需求能力：
Java开发，2年工作经验以上",7,47
专业爬虫工程师（非专业勿扰）,800,本人也是python，项目已经开发一大半，cookie问题没有解决，希望懂得大神来帮忙协助，可以在我写的代码上继续开发。远程开发。,1,
对账系统,30000,"一、需求描述：
1）数据来源于ERP进销存数据，进出接口调试
2）对接公司中台系统公共API
3）销售和退款数据的汇总，以及机场数据的处理SOP设计
4）表结构设计，输出数据链路
5）会给出业务视图，需要配合一起整理产品文档
6）建单的可视化界面+操作流程

二、人才要求：
数据结构设计经验，零售行业经验，基础财务知识

三、参考产品：
公司内部软件，可远程观看

四、合作方式：
开发方式：最好驻场，远程也可以。
开发周期：40-60天",60,55
学校作业bug修改,500,"需求: 很简单的一个小程序,码已写完,就差测试和bug修改了
里面有用到binary search tree 这个算法不能废弃,但可做微调(主要问题其实也是出在这了....)",1,39
教育系统后台新功能开发,2000,基于thinkphp框架在线教育测评系统管理后台试题批量导入开发，要求word里面的数学公式可以导入到数据库（公式不是以图片形式保存），在前端可以渲染出公示，前端可以导出试题到word里面（现已有导出功能）,4,44
app开发,4200,大致就是 一个在沙特使用的 类似boss直聘 这样的 两方 发布需求 求职的一个平台app 内涵直接事实对话 绑定银行卡等,7,31
vue外包,5000,根据我们的设计图来写出页面，框架已搭好，只需要把页面写完把接口测好，整理出有问题的接口。配合我们来测试。需要每两到三天提交一次代码和我们沟通一下问题。双方都配合尽快把我们交给的东西做完，。最好支持视频电话沟通，每天保证能工作四个小时,10,186
网站优化,15000,创业公司寻找一名兼职的小伙伴，为公司的官网做SEO，在搜索相关关键词的时候，达到能排在首页的效果。如优化效果好，进行长期合作。,30,
安卓开发工程师,9000,"工作职责：
1.	负责android视频客户端产品的设计、开发、性能与架构优化。
2.	主导关键技术项目的方案选型、设计及对应代码实施。
3.	完成高质量代码开发，解决代码缺陷。

任职要求：
1.	本科及以上学历。
2.	五年以上安卓开发经验，具备扎实的Java基础，熟悉内存优化，熟悉多线程使用；
3.	精通Android开发，深入理解移动平台多媒体底层框架接口，有安卓平台音视频编解码实现经验
4.	熟悉Android常用三方框架，对常用三方框架原理有了解，有封装基础库的能力；
5.	熟悉TCP/IP、HTTP协议及实现；
6.	同时具有Flutter，iOS，RN等其",15,36
Android高级工程师/嵌入式工程师,4000,"一、需求描述：

类别：导航机器人安卓端通讯程序
进度：已经有产品文档，需要技术开发。 
功能：通过使用高德地图开放平台的接口，开
发出一款导航 App，在原高德地图路径规划
的基础上，将路径分割为多段，并提取每段路径端
点的经纬度坐标（算法详见开发文档）， 将其通过USB串口通信发送至树莓派。

技术：Java/Kotlin

二、合作方式：

开发方式：远程开发。 
开发周期：20-30天",5,22
PC端机考系统二开（java&vue）,5600,"改善
1. Math部分题干和选项，右边界改为接近Tools部位
2. 在Begin Test⻚在右上⻆显示倒计时
3. 使用放大镜按钮后，flag可以显示
4. 下方导航条展现导航条里没有显示出来的题号

新追加页面以及功能 - 学生页面
1，添加“分析笔记”功能
2，添加“问题反馈”功能
3，实现无法Copy、无法用“打印预览”获取机考题目文字的功能。

新追加页面 - 管理员页面
1，添加“分析笔记”页面
2，添加“模考反馈”页面
3，添加“模考日志”页面
4，添加“模考日志详情”页面
5，添加“模考统计”页面",7,42
小程序UI设计,11200,"一、需求描述：

类别：分销类产品UI设计
进度：已经有产品文档、原型图，需要UI设计

二、人才要求：

熟悉UI设计、APP设计等

三、参考产品：

可以关注公众号：外卖哈哈哈
回复“UI设计” 获取产品需求和报价清单
四、合作方式：

开发方式：远程开发。
开发周期：20-30天",7,56
立体围棋APP接上线平台SDK,1500,"立体围棋APP接上线渠道，需接对方平台提供的广告SDK、付费SDK，包括签名等。目前，平台注册及文字图片说明已填写好，只需接入。

查看软件   http://120.24.149.221/LiTiChess-release.apk


引擎：cocos 开发语言：java    


参考：以下是4399接入流程

1、SDK下载地址:                                               http://open.4399.cn/doc/0016.html
备注：SDK接入前需要进行申请才能够使用，详情请查看以下网址：
2、注册手",3,
